Id;DATE_DERNIERE_MAJ;INTERET;TYPE;THEME;EVENEMENT_CADRE;NOM_OFFRE;LIEU;RUE;CODE_POSTAL;COMMUNE;COMMUNE_INSEE;TEL;TEL_MOB;MEL;SITE_WEB;LONGITUDE;LATITUDE;GEOLOC_MANUELLE;LABEL_TOURISME_HANDICAP;MARQUES_LABELS;DATES;TARIFS
"FMAAQU024V50CDKE";"01/09/2018";"Promotion régionale";"Animations locales";"Agriculture";"";" 13 ème Journée Forestière du Sud Dordogne ";"";"Besse";"24550";"BESSE";"24039";"";"";"";"";"1.106186";"44.668508";"Oui";"";"";"15/09/2018|15/09/2018|||||";""
"FMAAQU033V508S31";"11/06/2018";"Promotion locale";"Animations locales # Vide greniers Braderie";"Artisanat # Mode";"";" Bric à Brac et fête foraine";"";"Foyer Rural";"33190";"MORIZES";"33294";"+33 5 56 71 37 28";"";"";"";" -0.0918827";"44.6123325";"";"";"";"08/09/2018|09/09/2018|08:00|18:00|||";"Gratuit|||"
"FMAAQU033V50LITR";"05/07/2018";"Promotion locale";"Concert";"";"";" Concert MOOD, trio de reprises pop";"L'Oberge";"27 Avenue du Val de l'Eyre";"33380";"MIOS";"33284";"+33 5 56 26 67 47";"";"";"";" -0.937277";"44.602133";"Oui";"";"";"22/09/2018|22/09/2018|20:30||||";"Gratuit|||"
"FMAAQU064V58P95D";"09/08/2018";"Promotion locale";"Exposition";"Photographie";"";" Exposition « Perpetual Monument » ";"";"21 rue de la République";"64500";"SAINT-JEAN-DE-LUZ";"64483";"";"";"";"http://www.iamtropismes.com";" -1.6644187";"43.3889253";"Oui";"";"";"11/08/2018|02/09/2018|||||";"Gratuit|0,00|0,00|"
"FMAAQU024V50CHLM";"14/09/2018";"Promotion locale";"Animations locales # Exposition";"Peinture # Sculpture";"";" Exposition d'arts";"Le bourg";"Presbytère";"24440";"SAINT-AVIT-SENIEUR";"24379";"";"+33 6 84 75 33 97";"";"";"0.81711500";"44.775257";"Oui";"";"";"11/09/2018|23/09/2018|14:00|18:00|||";""
"FMAAQU064V50DJ9C";"13/03/2018";"Promotion régionale";"Festival";"Apéro-concert # Bal # Chorale # Danse # Gastronomie # Musique traditionnelle # Patrimoine culturel # Théâtre de rue";"";" Festival de la chanson et de la culture béarnaise";"";"";"64230";"SIROS";"64525";"";"+33 6 31 13 03 23 # +33 6 51 64 33 92";"";"https://www.festival.siros.fr";" -0.4823900";"43.3438980";"";"";"";"28/09/2018|28/09/2018|09:00||||";"Plein tarif|10,00|10,00| # Tarif réduit|5,00|5,00|"
"FMAAQU064V583JSJ";"13/03/2018";"Promotion régionale";"Festival";"Apéro-concert # Bal # Chorale # Danse # Gastronomie # Musique traditionnelle # Patrimoine culturel # Théâtre de rue";"";" Festival de la chanson et de la culture béarnaise ";"";"";"64230";"SIROS";"64525";"";"+33 6 31 13 03 23 # +33 6 51 64 33 92";"";"https://www.festival.siros.fr";" -0.4823900";"43.3438980";"";"";"";"29/09/2018|29/09/2018|09:00||||";"Plein tarif|10,00|10,00| # Tarif réduit|5,00|5,00|"
"FMAAQU064V583JTT";"24/04/2018";"Promotion régionale";"Festival";"Apéro-concert # Bal # Chorale # Danse # Gastronomie # Musique traditionnelle # Patrimoine culturel # Théâtre de rue";"";" Festival de la chanson et de la culture béarnaise ";"";"";"64230";"SIROS";"64525";"";"+33 6 31 13 03 23 # +33 6 51 64 33 92";"";"https://www.festival.siros.fr";" -0.4823900";"43.3438980";"";"";"";"30/09/2018|30/09/2018|09:00||||";"Gratuit|0,00|0,00|"
"FMAAQU033V50NN03";"30/08/2018";"Promotion locale";"Loisir nature";"Fleurs plantes";"";" Fête des Possibles en Réolais - Permaculture";"";"Bourg";"33190";"SAINT-SEVE";"33352";"";"+33 6 51 47 09 40";"perma.sudgironde@gmail.com";"https://www.chapeau-et-bottes.fr/";" -0.02831";"44.611346";"Oui";"";"";"16/09/2018|16/09/2018|09:30|19:00|||";""
"FMAAQU024V50CAL0";"04/09/2018";"Promotion locale";"Animations locales # Vide greniers Braderie";"";"";" Fête Locale : Vide Grenier, Marché Gourmand, Jeux ";"";"";"24400";"BOURGNAC";"24059";"";"";"";"";"0.40264100";"45.016166";"Oui";"";"";"23/09/2018|23/09/2018|06:30|18:30|||";""
"FMAAQU040V50GQ4U";"04/09/2018";"Promotion régionale";"Animation patrimoine # Visite";"";"";" Journées du Patrimoine à Eugénie les Bains";"";"";"40320";"EUGENIE-LES-BAINS";"40097";"+33 5 58 51 13 16";"";"";"";" -0.2622939";"43.700062";"Oui";"";"";"15/09/2018|15/09/2018|10:30||||";"Plein tarif|2,00||"
"FMAAQU024V506TJW";"03/09/2018";"Promotion régionale";"Animation patrimoine # Visite";"Gastronomie";"Journées du Patrimoine";" Journées du Patrimoine en chocolat Musée Bovetti !";"";"ZAES du Moulin Rouge";"24120";"TERRASSON-LAVILLEDIEU";"24547";"+33 5 53 51 81 53";"";"chocolat@bovetti.com";"http://www.bovetti.com";"1.3208629";"45.1235880";"";"";"";"15/09/2018|16/09/2018|||||";""
"FMAAQU064V58RJWU";"07/09/2018";"Promotion locale";"Animation patrimoine";"Médiéval";"";" Journées Européennes du Patrimoine : La tour Monréal, laissez-vous conter la cité ";"Tour Monréal";"";"64390";"SAUVETERRE-DE-BEARN";"64513";"";"+33 6 70 36 79 05";"";"";" -0.9398743";"43.3982830";"Oui";"";"";"15/09/2018|15/09/2018|10:00|12:00|14:00|18:00|";""
"FMAAQU064V58PN8D";"11/08/2018";"Promotion locale";"Conférence";"";"";" Les relations franco-arméniennes à travers les siècles";"La médiathèque";"2 Rue Ambroise Paré";"64200";"BIARRITZ";"64122";"+33 5 59 22 28 86";"";"";"";" -1.5543952";"43.4813004";"Oui";"";"";"29/09/2018|29/09/2018|15:30||||";""
"FMAAQU064FS01ABB";"25/08/2018";"Promotion régionale";"Animations locales # Brocante # Vide greniers Braderie";"Animaux # Randonnée";"";" Marche et repas avec le dernier berger transhumant à pieds";"";"Place de la Hourquie";"64160";"MORLAAS";"64405";"+33 5 59 33 47 55 # +33 5 59 33 47 67";"";"";"";" -0.2646040";"43.3419517";"";"";"";"16/09/2018|16/09/2018|08:00||||";"Plein tarif|15,00||repas autour du berger"
"FMAAQU024V50AKID";"07/05/2018";"Promotion locale";"Animation patrimoine";"";"";"""A la recherche des vestiges du passé"" ";"";"";"24360";"SAINT-ESTEPHE";"24398";"";"+33 6 45 45 55 24";"24assopatrimoine@gmail.com";"";"0.66436899";"45.592387";"Oui";"";"";"08/09/2018|08/09/2018|||||";""
"FMAAQU033V50KU0R";"02/07/2018";"Promotion régionale";"Exposition";"Photographie";"";"""Belles Gueules de Bordeaux"" - Exposition photographique des Bordeaux & Bordeaux Supérieur à La Cité du Vin";"La Cité du Vin";"134 Quai de Bacalan";"33000";"BORDEAUX";"33063";"";"";"";"";" -0.9392238";"44.6054788";"Oui";"";"";"08/06/2018|02/09/2018|||||";"Gratuit|||"
"FMAAQU033V50KTVH";"11/07/2018";"Promotion régionale";"Exposition";"Photographie";"";"""Chemin faisant"", photos de Yuri Palmin";"";"14 rue de l'Abbaye";"33670";"LA SAUVE";"33505";"+33 5 56 23 01 55";"";"";"http://www.abbaye-la-sauve-majeure.fr/";" -0.3121542";"44.7677747";"Oui";"";"";"15/06/2018|11/11/2018|10:30|||18:00|Lundi";"Plein tarif|6,00|6,00| # Gratuit|||- 26 ans"
"FMAAQU033V50L41P";"11/06/2018";"Promotion régionale";"Spectacle";"Sports aériens";"";"""Compagnie Née d'un doute - ORIKAÏ""   ";"Moulin de la Souloire";"31 route de la Souloire";"33750";"SAINT-GERMAIN-DU-PUCH";"33413";"";"";"";"http://www.scenesdete.fr/spectacle-festival/compagnie-nee-d-un-doute-2";" -0.3148155";"44.848645";"Oui";"";"";"29/09/2018|29/09/2018|17:00||||";"Gratuit|||"
"FMAAQU064V50CZXQ";"07/09/2018";"Promotion locale";"Compétition sportive";"Sports nautiques";"";"""Copa Mexico"" Habitables - Régates";"En mer";"";"64700";"HENDAYE";"64260";"";"+33 6 79 84 06 53";"";"";" -1.7802027";"43.3783357";"Oui";"";"";"14/09/2018|16/09/2018|||||";""
"FMAAQU033V50NX7M";"14/09/2018";"Promotion régionale";"Exposition";"Peinture";"";"""Corolles et Nébuleuses""";"Château Beychevelle";"Route de Pauillac";"33250";"SAINT-JULIEN-BEYCHEVELLE";"33423";"+33 5 57 67 33 80";"";"";"";" -0.7358601";"45.1450141";"Oui";"";"";"14/06/2018|28/09/2018|10:00|12:30|14:00|18:00|";""
"FMAAQU024V50BZMX";"03/08/2018";"Promotion locale";"Animations locales";"Arts créatifs/Arts plastiques";"";"""Créons ensemble"" ";"Salle des fêtes";"";"24530";"CANTILLAC";"24079";"+33 5 53 35 19 81";"";"accueil.brantome@lerubanvert.org";"";"0.64236500";"45.396816";"Oui";"";"";"19/09/2018|19/09/2018|14:00|16:30|||";""
"FMAAQU024V50BZMY";"03/08/2018";"Promotion locale";"Animations locales";"Arts créatifs/Arts plastiques";"";"""Créons ensemble"" ";"Salle des fêtes";"";"24530";"CANTILLAC";"24079";"+33 5 53 35 19 81";"";"accueil.brantome@lerubanvert.org";"";"0.64236500";"45.396816";"Oui";"";"";"22/09/2018|22/09/2018|14:00|16:30|||";""
"FMAAQU024V50BZMZ";"03/08/2018";"Promotion locale";"Animations locales";"Arts créatifs/Arts plastiques";"";"""Créons ensemble""";"Salle des fêtes";"";"24530";"CANTILLAC";"24079";"+33 5 53 35 19 81";"";"accueil.brantome@lerubanvert.org";"";"0.64236500";"45.396816";"Oui";"";"";"26/09/2018|26/09/2018|14:00|16:30|||";""
"FMAAQU024V50BZN0";"03/08/2018";"Promotion locale";"Animations locales";"Arts créatifs/Arts plastiques";"";"""Créons ensemble"" ";"Salle des fêtes";"";"24530";"CANTILLAC";"24079";"+33 5 53 35 19 81";"";"accueil.brantome@lerubanvert.org";"";"0.64236500";"45.396816";"Oui";"";"";"05/09/2018|05/09/2018|14:00|16:30|||";""
"FMAAQU064V58KRRJ";"15/07/2018";"Promotion régionale";"Exposition";"";"";"""Danzantes"" de Yebra de Basa";"Médiathèque ";"Place de l'Hôtel de Ville";"64260";"ARUDY";"64062";"+33 5 59 40 57 66";"";"";"";" -0.428126";"43.105795";"Oui";"";"";"21/09/2018|30/09/2018|||||";""
